DailyAverageDewPointTemperature,DailyAverageDryBulbTemperature,DailyAverageRelativeHumidity,DailyAverageSeaLevelPressure,DailyAverageStationPressure,DailyAverageWetBulbTemperature,DailyAverageWindSpeed,DailyCoolingDegreeDays,DailyDepartureFromNormalAverageTemperature,DailyHeatingDegreeDays,DailyMaximumDryBulbTemperature,DailyMinimumDryBulbTemperature,DailyPeakWindSpeed,DailyPrecipitation,DailySnowDepth,DailySnowfall,DailySustainedWindSpeed,Sunrise,Sunset
36,45,76,29.64,26.7,40,8.2,0,7.5,20,52,38,34,0.06,0,0.001,24,738,1821
37,49,65,29.76,26.8,44,14.3,0,11.2,16,57,40,36,0.04,0,0,26,736,1822
32,48,54,29.89,26.95,41,14.5,0,9.9,17,56,39,37,0.001,0,0,30,735,1823
28,36,75,29.97,26.95,32,7.7,0,-2.4,29,41,30,25,0.001,0,0.001,22,733,1825
24,32,75,29.94,26.92,29,20.5,0,-6.7,33,34,29,36,0.001,0,0.001,30,732,1826
16,30,58,30.14,27.08,25,4.8,0,-9.3,35,39,20,18,0,0,0,13,728,1828
20,34,62,29.82,26.8,28,13.3,0,-5.6,31,38,29,29,0.001,0,0.001,23,727,1830
24,32,76,29.78,26.78,29,7.1,0,-7.9,33,36,27,30,0.001,0.001,0.001,17,725,1831
24,40,58,30.43,27.38,32,7.3,0,-0.4,25,50,30,18,0,0,0,14,722,1834
24,42,52,30.39,27.34,34,10.5,0,1.5,23,52,32,24,0,0,0,20,720,1835
27,45,53,30.06,27.04,37,6.8,0,4.2,20,57,33,30,0.01,0,0,17,718,1836
36,47,71,29.71,26.74,41,11.8,0,5.9,18,55,39,28,0.11,0,0,21,717,1837
25,39,61,29.58,26.63,33,8.6,0,-2.4,26,46,31,27,0.001,0,0.001,21,715,1839
21,35,64,29.97,26.97,29,6.5,0,-6.7,30,38,31,22,0.06,0.001,0.2,20,713,1840
32,37,79,30.18,27.15,35,10.8,0,-5,28,43,31,24,0.03,0,0.001,20,712,1841
37,49,66,30.15,27.14,43,8.5,0,6.7,16,59,39,20,0.03,0,0,16,710,1843
44,52,79,30.15,27.17,47,9.5,0,9.4,13,59,45,21,0.08,0,0,16,708,1844
39,51,65,30.16,27.18,45,8.4,0,8.1,14,61,41,26,0.04,0,0,17,706,1845
33,51,55,30.14,27.14,42,11.5,0,7.8,14,63,39,26,0.01,0,0,22,705,1846
31,50,57,30.25,27.24,41,4.6,0,6.6,15,62,37,16,0,0,0,13,703,1847
29,53,44,30.15,27.15,42,4.6,0,9.3,12,67,38,14,0,0,0,12,701,1849
35,60,44,30.05,27.09,47,10.4,0,16,5,74,45,19,0,0,0,16,659,1850
36,58,50,29.97,27.01,47,10.4,0,13.8,7,70,46,33,0.1,0,0,24,657,1851
40,54,63,30.1,27.14,47,7,0,9.5,11,61,46,20,0.04,0,0,15,656,1852
35,60,42,30.04,27.06,47,10.9,0,15.3,5,72,47,29,0,0,0,22,654,1854
39,58,52,29.9,26.96,48,8.2,0,13,7,63,52,22,0.001,0,0,18,652,1855
47,57,81,30.06,27.09,50,6.1,0,11.8,8,64,49,21,0.19,0,0,16,650,1856
42,56,61,29.97,27,48,10.2,0,10.6,9,64,48,21,0.001,0,0,17,649,1857
42,54,69,29.83,26.88,47,8.5,0,8.4,11,62,45,28,0.1,0,0,23,647,1858
36,52,58,29.87,26.9,44,9.3,0,6.1,13,61,43,27,0,0,0,22,645,1900
29,46,54,30,27.03,38,11.8,0,-0.1,19,55,37,25,0,0,0,22,643,1901
35,48,65,30.02,27.03,42,13.7,0,1.7,17,53,43,35,0.18,0,0,30,641,1902
33,47,63,30.05,27.06,40,5.8,0,0.5,18,57,37,24,0,0,0,17,640,1903
31,49,55,29.92,26.93,40,11.4,0,2.4,16,58,39,36,0.03,0,0,30,638,1904
35,48,67,30.02,27.05,41,11.6,0,1.2,17,56,40,38,0.11,0,0,31,636,1906
31,43,61,30.27,27.26,38,6.7,0,-4,22,54,32,29,0,0,0,18,634,1907
37,50,64,30.08,27.08,44,9.4,0,2.8,15,61,39,23,0.34,0,0,20,632,1908
37,41,86,29.8,26.83,39,19.4,0,-6.4,24,48,33,52,1.4,0,0.001,38,631,1909
34,51,54,29.98,27.01,42,19.1,0,3.4,14,61,40,37,0,0,0,29,629,1910
32,48,61,30.19,27.11,40,5.6,0,0.3,17,61,35,21,0,0,0,16,627,1912
30,49,51,30.05,27.04,41,14,0,1.1,16,59,39,36,0,0,0,30,625,1913
23,41,50,30.04,27.06,34,11.1,0,-7.1,24,51,30,30,0,0,0,25,623,1914
16,43,37,30.16,27.14,34,7.4,0,-5.2,22,57,28,22,0,0,0,17,622,1915
30,58,34,30,27.03,45,11,0,9.6,7,72,43,25,0,0,0,20,620,1916
38,59,48,29.76,26.82,49,12,0,10.4,6,66,52,33,0.01,0,0,24,618,1917
36,54,49,29.62,26.71,46,13.5,0,5.2,11,61,47,53,0.04,0,0,38,616,1919
33,42,68,29.79,26.85,39,10.3,0,-6.9,23,49,35,43,0.15,0,0.1,30,615,1920
26,41,56,30.13,27.11,35,5.9,0,-8.1,24,52,29,20,0,0,0,16,613,1921
24,49,42,30.08,27.09,38,9.9,0,-0.3,16,57,41,22,0.01,0,0,18,611,1922
29,48,52,29.99,27,39,13.3,0,-1.5,17,57,39,36,0.001,0,0,24,609,1923
36,58,47,29.8,26.85,47,13.3,0,8.3,7,72,43,38,0,0,0,31,608,1925
39,49,71,29.78,26.85,44,7.6,0,-0.9,16,55,42,25,0.08,0,0,21,606,1926
33,41,78,30.09,27.09,37,7.9,0,-9.1,24,48,33,27,0.31,0,0.001,21,604,1927
26,44,53,30.2,27.18,37,3.8,0,-6.3,21,57,31,13,0,0,0,9,603,1928
31,55,41,29.94,26.96,44,10.8,0,4.5,10,70,40,29,0,0,0,24,601,1929
37,55,52,29.91,26.96,46,6.8,0,4.3,10,63,46,23,0.09,0,0,20,559,1931
42,53,71,29.96,27.01,47,6.9,0,2.1,12,61,44,24,0.51,0,0,18,558,1932
35,52,55,30.1,27.12,44,8.6,0,0.8,13,65,39,31,0,0,0,24,556,1933
37,49,66,30.13,27.16,43,8.5,0,-2.4,16,56,41,35,0.12,0,0,26,554,1934
32,47,59,30.28,27.26,41,7,0,-4.6,18,59,34,26,0,0,0,21,553,1935
30,55,38,29.94,26.98,44,15.2,0,3.1,10,70,40,45,0,0,0,36,551,1936
40,57,57,29.76,26.83,48,6.3,0,4.9,8,65,49,31,0.02,0,0,22,550,1938
41,49,77,29.71,26.77,45,8.4,0,-3.4,16,54,44,24,0.29,0,0,20,548,1939
35,50,58,29.89,26.93,43,10.5,0,-2.7,15,58,41,25,0.03,0,0,21,547,1940
41,48,79,29.8,26.83,45,7.9,0,-4.9,17,54,42,22,0.35,0,0,17,545,1941
30,45,60,29.94,26.95,38,13.8,0,-8.2,20,52,38,31,0.001,0,0,25,544,1942
30,47,55,30.07,27.08,39,16.1,0,-6.5,18,58,35,37,0,0,0,30,542,1944
29,48,50,30.2,27.19,40,4.4,0,-5.8,17,61,34,15,0,0,0,13,541,1945
35,56,46,30.08,27.11,45,7.9,0,1.9,9,66,45,23,0,0,0,17,539,1946
30,49,48,30.13,27.15,41,9.5,0,-5.4,16,60,38,26,0.001,0,0,21,538,1947
37,57,52,30.12,27.16,46,8.9,0,2.4,8,66,47,27,0.001,0,0,21,536,1948
40,59,50,30.17,27.21,50,6,0,4.1,6,74,44,17,0,0,0,13,535,1949
42,69,40,29.98,27.03,55,10.7,4,13.8,0,85,53,23,0,0,0,18,534,1951
46,71,45,29.71,26.83,56,15,6,15.5,0,81,60,44,0.06,0,0,36,532,1952
41,54,70,29.75,26.83,46,15.1,0,-1.8,11,63,44,35,0.08,0,0,30,531,1953
34,52,53,29.92,26.96,43,14.5,0,-4.2,13,63,41,30,0,0,0,24,530,1954
35,54,51,30.01,27.04,45,5.4,0,-2.5,11,67,40,17,0,0,0,14,528,1955
37,59,46,29.9,26.95,48,6.1,0,2.2,6,74,44,23,0,0,0,17,527,1956
38,65,39,29.85,26.93,51,6.7,0,7.9,0,81,48,20,0,0,0,16,526,1957
40,71,33,29.79,26.9,54,10.7,6,13.6,0,84,57,37,0,0,0,26,525,1958
38,54,63,29.86,26.93,45,10.5,0,-3.7,11,67,40,35,0.06,0,0,30,524,2000
33,44,65,29.95,26.95,39,5.8,0,-14,21,56,31,29,0.02,0,0,23,522,2001
31,48,53,29.94,26.95,41,5.7,0,-10.3,17,60,35,21,0.01,0,0,17,521,2002
29,50,45,29.83,26.87,41,6.5,0,-8.6,15,64,36,23,0,0,0,18,520,2003
37,46,72,29.7,26.75,42,9.3,0,-12.9,19,53,39,36,0.5,0,0,26,519,2004
34,43,71,29.91,26.93,39,11.5,0,-16.1,22,49,36,29,0.01,0,0,24,518,2005
39,52,60,30.05,27.08,46,6.7,0,-7.4,13,64,39,22,0,0,0,17,517,2006
38,58,49,30.02,27.06,49,6.6,0,-1.7,7,71,45,21,0,0,0,16,516,2007
41,65,46,29.98,27.04,51,7.8,0,5,0,77,52,35,0,0,0,28,515,2008
45,62,53,30.12,27.18,53,6.4,0,1.7,3,75,49,19,0,0,0,15,514,2009
43,68,44,30.1,27.15,54,6.8,3,7.5,0,82,53,22,0,0,0,16,514,2010
41,72,34,29.94,27.01,55,8.1,7,11.2,0,87,56,16,0,0,0,13,513,2011
31,63,30,29.65,26.75,49,16.4,0,1.9,2,73,52,35,0,0,0,28,512,2012
33,56,45,29.71,26.78,45,9.2,0,-5.4,9,67,44,23,0,0,0,18,511,2013
40,61,52,29.87,26.95,50,10.4,0,-0.6,4,73,48,28,0,0,0,23,510,2014
38,64,42,30.1,27.16,51,6,0,2.1,1,78,49,15,0,0,0,13,510,2015
39,71,35,30.08,27.14,53,5.4,6,8.9,0,85,56,14,0,0,0,12,509,2016
40,73,33,29.96,27.04,55,5.8,8,10.6,0,89,56,19,0,0,0,13,508,2017
41,78,29,29.78,26.88,57,8.8,13,15.3,0,93,62,45,0,0,0,36,508,2018
44,74,39,29.71,26.78,56,9.3,9,11.1,0,88,60,28,0,0,0,23,507,2018
50,63,65,29.84,26.93,56,5.9,0,-0.2,2,70,56,29,0.04,0,0,24,507,2019
46,66,49,29.97,27.04,55,5.8,1,2.6,0,81,51,17,0,0,0,12,506,2020
46,78,36,29.82,26.91,59,9.4,13,14.3,0,94,62,26,0,0,0,20,506,2021
47,72,47,29.79,26.9,57,10.8,7,8,0,88,56,54,0,0,0,40,505,2022
41,64,48,30.02,27.08,52,6.9,0,-0.2,1,77,50,21,0,0,0,15,505,2022
42,71,39,29.9,26.98,55,7.4,6,6.5,0,87,54,19,0,0,0,15,505,2023
48,80,35,29.69,26.8,60,7.5,15,15.3,0,97,62,23,0,0,0,20,504,2024
44,67,42,29.72,26.84,55,8.5,2,2,0,77,56,33,0.001,0,0,26,504,2024
41,62,52,29.76,26.83,50,6.3,0,-3.3,3,74,50,31,0.01,0,0,24,504,2025
39,57,57,29.78,26.84,47,6.1,0,-8.5,8,65,49,33,0.001,0,0,28,504,2025
42,54,71,29.73,26.78,48,9.4,0,-11.8,11,64,43,34,0.2,0,0,26,503,2026
49,55,83,29.7,26.78,51,5.9,0,-11.1,10,62,48,19,0.95,0,0,16,503,2026
42,59,59,29.93,26.98,50,8.5,0,-7.4,6,69,48,25,0.07,0,0,21,503,2027
39,61,44,29.98,27.04,51,5.6,0,-5.6,4,73,49,18,0,0,0,13,503,2027
42,67,41,29.94,27.01,54,5.8,2,0.1,0,78,56,16,0,0,0,12,503,2028
48,68,51,29.97,27.06,56,8.3,3,0.8,0,75,61,25,0,0,0,20,503,2028
43,66,46,30.04,27.11,54,8,1,-1.5,0,76,55,20,0,0,0,15,503,2029
47,70,44,30.05,27.12,57,6.9,5,2.2,0,85,55,25,0,0,0,20,503,2029
50,79,38,29.94,27.03,62,7,14,10.9,0,96,61,20,0,0,0,15,503,2029
55,83,38,29.84,26.96,66,8.6,18,14.6,0,96,70,26,0.001,0,0,20,504,2029
43,74,35,29.92,27.02,57,13.6,9,5.3,0,86,62,30,0,0,0,22,504,2030
32,69,26,30.01,27.09,51,13.8,4,-0.1,0,82,56,33,0,0,0,25,504,2030
33,67,31,30.09,27.15,51,6,2,-2.4,0,83,50,19,0,0,0,16,504,2030
37,73,31,30.06,27.14,54,5.5,8,3.3,0,89,56,20,0,0,0,14,504,2030
39,78,27,29.96,27.06,58,6.7,13,8,0,97,59,18,0,0,0,14,505,2030
48,81,34,29.78,26.9,61,9,16,10.7,0,96,65,43,0.13,0,0,31,505,2030
46,75,37,29.77,26.88,59,8.2,10,4.3,0,89,61,31,0,0,0,24,506,2030
37,73,30,29.77,26.88,55,7.7,8,2,0,85,61,26,0,0,0,21,506,2030
39,69,33,29.95,27.04,54,8.2,4,-2.3,0,83,54,31,0,0,0,21,506,2030
40,75,30,29.97,27.06,56,7.2,10,3.4,0,90,59,22,0,0,0,17,507,2030
44,80,30,29.81,26.93,59,4.7,15,8,0,96,63,16,0,0,0,12,507,2030
47,81,33,29.82,26.94,61,5.8,16,8.7,0,97,65,16,0,0,0,13,508,2030
47,81,33,29.86,26.98,61,7.5,16,8.4,0,96,65,22,0,0,0,17,509,2030
47,83,31,29.85,26.97,62,4.8,18,10.1,0,101,64,16,0,0,0,13,509,2029
45,84,28,29.89,27.02,61,6.8,19,10.8,0,99,68,16,0,0,0,14,510,2029
41,85,22,30,27.11,60,6.9,20,11.5,0,101,69,19,0,0,0,13,510,2029
45,87,24,29.95,27.06,62,7,22,13.2,0,102,71,19,0,0,0,15,511,2028
49,86,28,29.87,26.99,64,6.1,21,11.9,0,104,68,24,0,0,0,20,512,2028
48,87,25,29.79,26.93,64,6.6,22,12.6,0,101,73,26,0,0,0,21,513,2027
46,82,29,29.76,26.9,61,7.3,17,7.3,0,95,68,19,0,0,0,15,513,2027
39,76,26,29.84,26.96,56,9,11,1.1,0,91,61,25,0,0,0,20,514,2026
41,79,26,29.86,26.98,59,5.5,14,3.8,0,97,61,19,0,0,0,14,515,2026
43,86,24,29.85,26.98,61,6.6,21,10.5,0,100,71,20,0,0,0,14,516,2025
49,85,30,29.92,27.04,63,5.6,20,9.3,0,102,67,14,0,0,0,13,517,2025
48,85,27,29.87,27.01,63,7.7,20,9.1,0,100,69,26,0,0,0,20,517,2024
40,79,27,29.91,27.03,57,8.8,14,2.9,0,92,66,22,0,0,0,17,518,2023
40,77,29,29.83,26.94,56,7.4,12,0.7,0,93,60,22,0,0,0,16,519,2023
40,78,27,29.83,26.94,57,5.6,13,1.5,0,96,60,16,0,0,0,12,520,2022
39,80,26,29.85,26.98,58,6.2,15,3.3,0,96,63,17,0,0,0,14,521,2021
39,77,26,29.88,27,57,8.1,12,0.2,0,92,61,25,0,0,0,18,522,2020
42,76,33,29.94,27.04,57,6.8,11,-1,0,94,58,24,0,0,0,18,523,2019
40,77,29,29.98,27.08,57,6.2,12,-0.1,0,94,60,25,0,0,0,21,524,2018
41,81,25,29.85,26.96,59,4.9,16,3.8,0,98,63,17,0,0,0,13,525,2018
45,84,27,29.77,26.9,61,7.1,19,6.7,0,98,70,31,0,0,0,23,526,2017
48,84,31,29.84,26.97,62,6.6,19,6.6,0,95,73,20,0,0,0,15,527,2016
53,82,38,29.95,27.07,64,8.1,17,4.6,0,93,71,21,0.01,0,0,17,528,2015
49,80,35,29.94,27.05,62,4.9,15,2.5,0,93,67,19,0,0,0,14,529,2013
43,84,26,29.89,27.01,61,6.9,19,6.5,0,99,69,29,0,0,0,22,530,2012
45,85,26,29.91,27.03,61,6.6,20,7.5,0,102,68,24,0,0,0,20,531,2011
47,83,29,29.99,27.11,62,5.2,18,5.5,0,99,67,20,0,0,0,15,532,2010
45,82,28,30.04,27.14,61,6.6,17,4.5,0,100,64,18,0,0,0,15,533,2009
45,82,28,29.97,27.08,61,4.8,17,4.5,0,97,66,16,0,0,0,13,534,2008
45,85,26,29.91,27.03,62,6.3,20,7.6,0,102,67,18,0,0,0,14,535,2007
41,83,25,29.88,27.01,59,5.6,18,5.6,0,98,68,20,0,0,0,14,536,2005
40,82,23,29.78,26.9,58,6.9,17,4.7,0,98,65,22,0,0,0,17,537,2004
40,77,27,29.78,26.9,57,6.4,12,-0.2,0,93,60,21,0,0,0,17,538,2003
44,79,31,29.84,26.96,59,5.3,14,1.9,0,91,66,19,0,0,0,15,539,2001
43,82,27,29.89,27.01,59,6.8,17,5.1,0,92,71,20,0,0,0,16,541,2000
45,80,31,29.89,27.01,60,7.4,15,3.2,0,94,66,30,0,0,0,20,542,1959
48,79,35,29.91,27.03,61,7.1,14,2.4,0,92,65,24,0,0,0,16,543,1957
46,81,30,29.92,27.03,60,8,16,4.5,0,95,66,23,0,0,0,18,544,1956
45,83,27,29.84,26.95,61,6.8,18,6.7,0,97,68,19,0,0,0,14,545,1955
45,85,26,29.75,26.89,61,9,20,8.9,0,99,71,32,0,0,0,25,546,1953
51,73,50,29.82,26.93,60,7.9,8,-2.9,0,83,62,33,0.08,0,0,23,547,1952
51,69,58,29.83,26.91,58,4.5,4,-6.7,0,79,58,20,0,0,0,13,548,1950
40,71,33,29.8,26.9,54,5.9,6,-4.5,0,87,55,19,0,0,0,15,549,1949
38,74,29,29.9,27,55,6.5,9,-1.2,0,89,58,24,0,0,0,16,551,1947
40,73,32,29.98,27.07,55,6.5,8,-2,0,88,57,23,0,0,0,16,552,1946
35,76,26,29.96,27.05,55,6.2,11,1.2,0,92,59,26,0,0,0,15,553,1944
37,73,28,29.91,27.01,54,7.1,8,-1.5,0,87,58,29,0,0,0,17,554,1942
38,70,34,29.94,27.03,54,6,5,-4.2,0,86,54,23,0,0,0,16,555,1941
40,72,33,30,27.08,55,4.6,7,-2,0,88,56,22,0,0,0,14,556,1939
43,78,30,29.96,27.06,58,6,13,4.3,0,93,62,15,0,0,0,12,557,1938
46,80,33,29.89,27,60,9.5,15,6.6,0,91,68,35,0,0,0,26,558,1936
51,79,44,29.82,26.93,61,6.3,14,5.9,0,92,66,58,0.14,0,0,41,600,1934
51,75,45,29.85,26.97,61,5.5,10,2.2,0,91,59,17,0,0,0,14,601,1933
44,78,35,30.01,27.11,58,5,13,5.5,0,96,60,18,0,0,0,15,602,1931
41,81,25,30,27.1,59,5.3,16,8.8,0,99,62,15,0,0,0,12,603,1929
45,82,29,29.9,27.02,60,7.1,17,10.1,0,97,66,26,0,0,0,20,604,1928
43,84,25,29.85,26.97,60,7.1,19,12.5,0,99,68,22,0,0,0,15,605,1926
43,84,24,29.83,26.96,60,10.4,19,12.8,0,98,70,39,0.001,0,0,24,606,1924
45,77,34,29.92,27.04,59,6.5,12,6.1,0,89,65,25,0,0,0,17,607,1922
41,75,32,30.03,27.12,56,5.6,10,4.4,0,93,56,23,0,0,0,16,609,1921
43,82,27,29.98,27.08,59,6.7,17,11.8,0,97,66,19,0,0,0,15,610,1919
46,83,30,29.96,27.07,61,5,18,13.1,0,99,66,14,0,0,0,12,611,1917
46,83,31,29.94,27.05,60,5.3,18,13.5,0,98,67,17,0,0,0,13,612,1915
42,78,29,29.97,27.07,58,6.5,13,8.8,0,90,66,27,0,0,0,21,613,1914
44,78,34,29.9,27,58,7,13,9.2,0,90,66,22,0,0,0,17,614,1912
45,77,32,29.83,26.93,59,6.1,12,8.5,0,90,63,25,0,0,0,20,615,1910
50,80,38,29.79,26.9,61,5.8,15,11.9,0,92,67,25,0.001,0,0,20,616,1908
51,79,39,29.89,27.01,62,5,14,11.2,0,89,69,22,0.001,0,0,14,617,1906
49,74,45,30.06,27.16,59,5.6,9,6.6,0,89,59,26,0,0,0,18,619,1905
46,74,39,30.05,27.13,58,3.2,9,7,0,90,58,14,0,0,0,8,620,1903
46,76,35,29.88,26.98,59,5,11,9.3,0,89,63,17,0,0,0,14,621,1901
51,77,43,29.75,26.85,61,7.2,12,10.7,0,87,66,26,0,0,0,18,622,1859
38,69,37,29.71,26.82,51,8,4,3.1,0,79,58,28,0.02,0,0,23,623,1857
34,60,40,29.89,26.97,47,15,0,-5.5,5,69,50,40,0,0,0,29,624,1855
30,53,42,30.07,27.1,43,4.5,0,-12.2,12,66,40,17,0,0,0,12,625,1854
29,65,28,29.89,26.95,47,9.2,0,0.2,0,79,50,23,0,0,0,16,626,1852
46,57,69,29.75,26.84,52,5.6,0,-7.4,8,66,48,31,0.21,0,0,22,627,1850
40,53,67,29.85,26.9,46,6.4,0,-11,12,60,46,27,0.1,0,0,21,629,1848
41,56,66,29.71,26.75,47,10.6,0,-7.6,9,63,48,32,0.08,0,0,24,630,1846
39,53,67,29.79,26.84,45,6.7,0,-10.2,12,58,47,29,0.09,0,0,18,631,1844
39,47,80,29.94,26.97,43,5.5,0,-15.9,18,52,41,22,0.03,0,0,16,632,1843
36,49,65,30.03,27.04,42,6.6,0,-13.5,16,61,36,24,0,0,0,16,633,1841
33,52,55,30.02,27.04,42,7.8,0,-10.1,13,67,36,31,0,0,0,23,634,1839
35,54,51,30.07,27.1,44,5.6,0,-7.7,11,67,40,15,0,0,0,12,635,1837
39,62,47,30.1,27.15,49,5.4,0,0.7,3,72,51,20,0,0,0,12,637,1835
39,61,47,30.13,27.18,50,5.2,0,0.1,4,75,47,18,0,0,0,14,638,1833
38,63,43,30.07,27.12,50,5,0,2.5,2,78,48,19,0,0,0,15,639,1832
37,65,39,29.91,26.98,50,6.5,0,4.9,0,82,48,26,0,0,0,17,640,1830
40,59,52,29.92,26.99,50,10.2,0,-0.7,6,67,50,29,0.03,0,0,23,641,1828
36,51,64,29.98,27.01,42,7.6,0,-8.3,14,61,40,33,0.001,0,0,24,642,1826
34,47,68,30,27.01,40,4.7,0,-11.9,18,60,34,21,0.001,0,0,17,643,1824
34,49,59,30.13,27.14,41,5.4,0,-9.5,16,61,36,19,0,0,0,15,645,1823
35,48,62,30.12,27.14,42,6.3,0,-10.1,17,56,40,19,0.01,0,0,16,646,1821
34,51,56,30.17,27.18,43,4,0,-6.7,14,62,39,17,0,0,0,13,647,1819
32,56,46,30.08,27.09,44,6.8,0,-1.3,9,70,41,20,0,0,0,15,648,1817
33,56,43,29.87,26.93,45,10.4,0,-0.9,9,69,43,33,0,0,0,23,649,1816
31,49,53,30.05,27.09,40,12,0,-7.5,16,59,38,35,0.03,0,0,25,650,1814
25,45,48,30.3,27.27,37,5.1,0,-11.1,20,59,31,18,0,0,0,13,652,1812
20,55,27,29.95,26.96,41,13.6,0,-0.7,10,69,41,37,0,0,0,28,653,1810
26,50,40,29.9,26.96,40,8.5,0,-5.3,15,57,42,24,0,0,0,20,654,1809
25,43,49,30.15,27.14,36,4.8,0,-11.9,22,54,31,20,0,0,0,17,655,1807
35,42,76,30.15,27.16,40,5.1,0,-12.5,23,50,34,33,0.19,0,0.001,24,656,1805
27,40,67,30.53,27.48,34,4.5,0,-14.1,25,50,29,16,0,0,0,12,658,1804
28,48,54,30.46,27.41,37,6.2,0,-5.7,17,61,34,17,0,0,0,13,659,1802
28,49,47,30.32,27.31,40,4.2,0,-4.3,16,64,34,15,0,0,0,13,700,1800
31,53,49,30.14,27.14,41,3.6,0,0.1,12,67,38,16,0,0,0,13,701,1759
29,57,37,30,27.03,44,8.6,0,4.5,8,76,38,22,0,0,0,15,703,1757
21,63,25,29.67,26.74,44,9.6,0,10.9,2,78,47,20,0,0,0,16,704,1755
33,51,63,29.76,26.86,41,11.9,0,-0.7,14,63,39,43,0.21,0,0,33,705,1754
34,42,74,30.17,27.16,39,9.5,0,-9.3,23,50,33,29,0.16,0,0,22,706,1752
43,55,71,30.29,27.3,47,9.2,0,4.1,10,64,46,26,0.001,0,0,21,708,1751
38,49,72,30.63,27.6,44,4.9,0,-1.4,16,60,38,20,0,0,0,15,709,1749
36,50,62,30.57,27.52,43,5.5,0,0,15,63,37,15,0,0,0,12,710,1748
38,50,65,30.18,27.17,44,4.6,0,0.4,15,62,38,18,0,0,0,13,711,1746
39,53,64,30.17,27.19,46,4.5,0,3.8,12,67,39,18,0,0,0,13,713,1745
39,53,66,30.23,27.24,45,6.2,0,4.2,12,64,41,20,0,0,0,16,714,1743
39,56,59,30.13,27.15,46,7.1,0,7.6,9,68,43,17,0,0,0,13,715,1742
40,53,64,29.94,26.97,46,3.5,0,5,12,65,41,15,0,0,0,12,717,1740
28,46,47,30.01,27.04,39,7.7,0,-1.6,19,55,37,27,0,0,0,20,718,1739
24,43,50,30.01,27,35,4.5,0,-4.1,22,57,29,22,0,0,0,13,719,1737
26,53,39,29.71,26.76,40,8.8,0,6.3,12,65,41,23,0,0,0,17,720,1736
35,51,59,29.79,26.83,43,6,0,4.7,14,60,42,18,0.001,0,0,14,722,1735
38,46,78,29.84,26.87,41,8.7,0,0.1,19,54,38,25,0.26,0,0,18,723,1733
30,39,73,29.97,26.96,35,4.5,0,-6.4,26,44,34,16,0.11,0,0,13,724,1732
31,39,77,29.95,26.94,35,10,0,-6,26,45,32,30,0.14,0,0,22,726,1731
29,36,74,30.18,27.18,34,6,0,-8.6,29,44,28,21,0.04,0,0,15,727,1730
23,34,64,30.37,27.32,30,8.6,0,-10.1,31,43,25,25,0,0,0,18,728,1728
24,40,53,30.12,27.08,34,12.1,0,-3.7,25,49,30,35,0,0,0,23,730,1727
31,50,60,29.92,26.95,40,10.7,0,6.7,15,61,39,44,0.1,0,0,33,731,1726
38,45,83,29.96,26.98,41,5.8,0,2.2,20,53,36,22,0.25,0,0,16,732,1725
37,46,75,30.14,27.14,41,7,0,3.6,19,54,37,19,0.02,0,0,14,733,1724
33,42,68,30.1,27.09,39,7.6,0,0,23,49,35,23,0,0,0,17,735,1723
33,48,58,30.02,27.03,41,10.4,0,6.5,17,59,37,31,0.001,0,0,24,736,1722
33,44,68,30.17,27.16,39,5.9,0,2.9,21,50,37,34,0.21,0,0,25,737,1721
33,43,67,29.91,26.9,39,13.5,0,2.4,22,50,35,31,0.13,0,0,23,739,1720
37,47,69,29.69,26.75,43,9.4,0,6.8,18,53,41,29,0.08,0,0,22,740,1719
27,38,61,30.05,27.08,35,9.9,0,-1.8,27,46,30,35,0,0,0,25,741,1718
23,39,59,30.39,27.33,31,10.6,0,-0.3,26,47,30,23,0,0,0,17,743,1717
24,39,57,30.14,27.09,33,6.6,0,0.1,26,49,28,21,0,0,0,16,744,1716
36,44,70,29.98,27,41,11.9,0,5.5,21,49,38,35,0.1,0,0,29,745,1716
46,50,82,30.22,27.24,48,7.5,0,12,15,57,42,21,0.05,0,0,17,746,1715
50,55,83,30.23,27.24,52,4.5,0,17.4,10,63,47,20,0.01,0,0,15,748,1714
45,56,71,30,27.03,50,7.2,0,18.8,9,66,46,31,0.01,0,0,21,749,1714
37,47,69,30.06,27.09,43,6.5,0,10.2,18,55,39,21,0.26,0,0,15,750,1713
33,44,65,30.15,27.13,39,7.3,0,7.6,21,50,38,19,0,0,0,14,751,1712
36,51,55,29.84,26.87,44,7.9,0,15,14,62,40,27,0,0,0,21,752,1712
31,46,62,29.95,27.01,39,11.7,0,10.4,19,60,31,31,0.001,0,0,25,754,1711
23,39,56,30.19,27.16,33,10.7,0,3.8,26,49,28,33,0.001,0,0,24,755,1711
27,35,73,30.41,27.37,32,4.8,0,0.2,30,42,28,20,0,0,0,15,756,1710
26,33,76,30.33,27.25,30,6.1,0,-1.5,32,39,27,18,0,0,0,14,757,1710
30,35,83,30.19,27.14,33,3,0,0.9,30,43,26,14,0,0,0,10,758,1710
31,35,86,30,26.97,34,3.8,0,1.2,30,42,28,17,0,0,0,13,759,1709
31,38,81,29.95,26.96,34,10.9,0,4.6,27,42,33,37,0.35,0,0.1,28,800,1709
23,34,67,30.42,27.37,30,7.4,0,0.9,31,41,27,25,0,0,0.001,20,801,1709
21,30,72,30.6,27.54,26,3.4,0,-2.8,35,38,22,13,0,0,0,10,802,1709
